"Job_Role","Company","Location","Job Type","Salary","Experience Required","Date","Job Portal","Education Requirement","Skills","Remote/Onsite","Company Size"
"Software Engineer","Amazon","Ahmedabad","Full-time","650000.0","2-5 years","2025-01-16","LinkedIn","PhD","C++, SQL, Python","Remote","Small (1-50)"
"Marketing Executive","Infosys","Ahmedabad","Internship","650000.0","2-5 years","2024-12-25","Indeed","MBA","SQL, C++, Python","Remote","Large (500+)"
"Financial Analyst","Deloitte","Jaipur","Contract","2000000.0","5-10 years","2025-01-22","Naukri.com","M.Tech","Machine Learning, Excel, React","Remote","Large (500+)"
"Business Analyst","Amazon","Delhi","Full-time","2000000.0","2-5 years","2025-01-07","LinkedIn","B.Tech","Machine Learning, Python, SQL","Hybrid","Small (1-50)"
"Software Engineer","Infosys","Delhi","Full-time","1600000.0","10+ years","2024-12-26","Indeed","MBA","UI/UX, C++, Java","Onsite","Small (1-50)"
"Data Scientist","Wipro","Pune","Internship","650000.0","5-10 years","2024-12-27","Indeed","B.Sc","SQL, React, C++","Remote","Large (500+)"
"Software Engineer","Accenture","Noida","Full-time","650000.0","5-10 years","2024-12-30","LinkedIn","B.Tech","SQL, Python, C++","Hybrid","Large (500+)"
"Data Scientist","Wipro","Mumbai","Contract","650000.0","0-2 years","2025-01-10","Naukri.com","B.Tech","React, Digital Marketing, Machine Learning","Onsite","Medium (51-500)"
"Marketing Executive","HCL","Ahmedabad","Part-time","650000.0","5-10 years","2025-01-21","Naukri.com","B.Tech","Java, Python, Excel","Onsite","Medium (51-500)"
"Financial Analyst","Microsoft","Pune","Internship","1600000.0","5-10 years","2025-01-06","Indeed","B.Tech","SQL, React, C++","Remote","Large (500+)"
"Sales Representative","Amazon","Mumbai","Part-time","650000.0","5-10 years","2024-12-30","LinkedIn","MBA","UI/UX, C++, React","Onsite","Small (1-50)"
"Financial Analyst","HCL","Hyderabad","Contract","650000.0","5-10 years","2025-01-20","Naukri.com","B.Tech","UI/UX, Excel, Digital Marketing","Hybrid","Large (500+)"
"Product Manager","Google","Noida","Part-time","2000000.0","2-5 years","2025-01-01","Indeed","B.Tech","React, Machine Learning, SQL","Hybrid","Small (1-50)"
"Financial Analyst","Microsoft","Noida","Part-time","400000.0","2-5 years","2025-01-12","LinkedIn","M.Tech","Python, Excel, Digital Marketing","Onsite","Large (500+)"
"Financial Analyst","Wipro","Delhi","Contract","650000.0","2-5 years","2024-12-23","Naukri.com","B.Sc","C++, Java, Python","Hybrid","Large (500+)"
"Sales Representative","Deloitte","Delhi","Contract","2000000.0","2-5 years","2025-01-17","Naukri.com","PhD","Java, Excel, Machine Learning","Hybrid","Small (1-50)"
"HR Manager","Wipro","Kolkata","Part-time","1600000.0","5-10 years","2025-01-16","Naukri.com","B.Tech","Java, UI/UX, Machine Learning","Onsite","Small (1-50)"
"Cyber Security Analyst","Infosys","Pune","Contract","2000000.0","10+ years","2025-01-14","LinkedIn","B.Sc","Excel, Digital Marketing, Python","Remote","Small (1-50)"
"Cyber Security Analyst","IBM","Bangalore","Part-time","1600000.0","10+ years","2024-12-23","LinkedIn","B.Tech","Digital Marketing, Machine Learning, SQL","Hybrid","Medium (51-500)"
"Cyber Security Analyst","HCL","Pune","Part-time","2000000.0","0-2 years","2025-01-22","Naukri.com","M.Tech","Java, AWS, React","Remote","Large (500+)"
"Data Scientist","Deloitte","Hyderabad","Part-time","1600000.0","2-5 years","2024-12-25","LinkedIn","M.Tech","SQL, Machine Learning, Python","Hybrid","Medium (51-500)"
"Graphic Designer","HCL","Kolkata","Part-time","2000000.0","2-5 years","2025-01-20","Naukri.com","PhD","Excel, UI/UX, React","Remote","Small (1-50)"
"Product Manager","TCS","Pune","Contract","2000000.0","2-5 years","2025-01-08","Naukri.com","B.Sc","Python, UI/UX, Digital Marketing","Remote","Medium (51-500)"
"Cyber Security Analyst","IBM","Jaipur","Part-time","1000000.0","2-5 years","2025-01-09","LinkedIn","B.Sc","AWS, Excel, UI/UX","Onsite","Medium (51-500)"
"Software Engineer","Microsoft","Pune","Internship","650000.0","5-10 years","2024-12-28","Indeed","B.Sc","AWS, Java, React","Onsite","Large (500+)"
"Cyber Security Analyst","Microsoft","Delhi","Full-time","1600000.0","0-2 years","2025-01-09","LinkedIn","B.Tech","UI/UX, Java, C++","Remote","Medium (51-500)"
"Product Manager","Amazon","Ahmedabad","Part-time","1600000.0","10+ years","2025-01-16","Indeed","PhD","Excel, UI/UX, React","Onsite","Medium (51-500)"
"Data Scientist","Google","Jaipur","Full-time","650000.0","5-10 years","2025-01-15","Indeed","B.Tech","Java, AWS, C++","Onsite","Medium (51-500)"
"Financial Analyst","Infosys","Pune","Contract","1600000.0","5-10 years","2025-01-01","Indeed","B.Tech","SQL, Digital Marketing, Machine Learning","Onsite","Small (1-50)"
"Cyber Security Analyst","IBM","Ahmedabad","Internship","2000000.0","5-10 years","2025-01-20","LinkedIn","M.Tech","Machine Learning, C++, Python","Onsite","Small (1-50)"
"HR Manager","Amazon","Delhi","Contract","1000000.0","5-10 years","2024-12-23","Indeed","MBA","React, C++, Machine Learning","Onsite","Small (1-50)"
"Financial Analyst","Infosys","Delhi","Contract","1000000.0","0-2 years","2025-01-14","Naukri.com","MBA","UI/UX, Java, Machine Learning","Onsite","Large (500+)"
"HR Manager","Wipro","Bangalore","Full-time","400000.0","0-2 years","2025-01-13","Naukri.com","MBA","UI/UX, Python, SQL","Onsite","Small (1-50)"
"Graphic Designer","TCS","Chennai","Part-time","650000.0","10+ years","2025-01-07","Naukri.com","M.Tech","React, Java, Excel","Hybrid","Large (500+)"
"Financial Analyst","Amazon","Hyderabad","Internship","2000000.0","0-2 years","2024-12-29","LinkedIn","B.Sc","Digital Marketing, Python, SQL","Remote","Small (1-50)"
"Marketing Executive","HCL","Ahmedabad","Contract","2000000.0","5-10 years","2024-12-29","LinkedIn","B.Tech","UI/UX, AWS, SQL","Onsite","Medium (51-500)"
"Cyber Security Analyst","Amazon","Noida","Contract","1000000.0","5-10 years","2024-12-31","Indeed","B.Tech","React, Java, Excel","Onsite","Large (500+)"
"Product Manager","Deloitte","Delhi","Part-time","400000.0","10+ years","2025-01-05","Indeed","B.Sc","SQL, Excel, AWS","Hybrid","Medium (51-500)"
