Job Title,Company,Location,Experience,Salary,Job Description,Skills,Job_Role
Data Scientist - Customer & Marketing,Trent Limited,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Market Mix Modelling, Machine Learning, Retail Analytics, Linear Regression, Customer Analytics, Predictive Modeling, Decision Tree, Logistic Regression",Data Scientist
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Analysis",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, analytical, data science, writing, jupyter notebook, communication skills, Notebook",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Intelligence",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Science",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"data analytics, data analysis, data science, writing, jupyter notebook, artificial intelligence, communication skills, Data",Data Analyst
Data Scientist/Analyst,Turing,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Data Scientist/Analyst, Analysis, Data, Data analysis",Data Analyst
Data Scientist,Ericsson,Mumbai,6-8 Yrs,3875000,Role & responsibilities Analyse marketing campaign performance and provide actionable ...,"Data management, Artificial Intelligence, Machine learning, Cloud, Programming, Business intelligence, Open source, Analytics",Data Scientist
